State,Persons
Alabama,736178
Alaska,66377
Arizona,887253
Arkansas,239748
California,5494318
Colorado,614843
Connecticut,363524
Delaware,118209
District of Columbia,140659
Florida,2943012
Georgia,1356493
Guam,38152
Hawaii,163576
Idaho,133545
Illinois,1879564
Indiana,586403
Iowa,267158
Kansas,186036
Kentucky,595155
Louisiana,803988
Maine,163520
Maryland,667981
Massachusetts,1076187
Michigan,1473832
Minnesota,451966
Mississippi,357042
Missouri,655940
Montana,80523
Nebraska,150600
Nevada,496848
New Hampshire,75717
New Jersey,826094
New Mexico,457699
New York,2962913
North Carolina,1378291
North Dakota,57129
Ohio,1450955
Oklahoma,692477
Oregon,772893
Pennsylvania,1958047
Rhode Island,142726
South Carolina,567895
South Dakota,75282
Tennessee,690545
Texas,3455085
Utah,177087
Vermont,64633
Virginia,824866
Virgin Islands,20772
Washington,905471
West Virginia,273566
Wisconsin,689315
Wyoming,27122
